Marque,Nom,Référence,Condition,Boîte,Papiers,Prix
OMEGA,Seamaster 300,233.22.41.21.01.002,Excellent,Yes,Yes,"$6,175"
Breitling,Navitimer 01,AB0120,Excellent,Yes,Yes,"$5,600"
OMEGA,De Ville Hour Vision,431.33.41.21.03.001,Excellent,Yes,Yes,"$4,550"
OMEGA,Speedmaster Dark Side of the Moon,311.92.44.51.01.007,Excellent,Yes,Yes,"$8,550"
OMEGA,Seamaster Bullhead,225.12.43.50.01.001,Excellent,Yes,Yes,"$7,000"
IWC,Big Pilot Le Petit Prince,IW5010-02,Excellent,Yes,Yes,"$9,450"
Tudor,Heritage Black Bay,79360,Excellent,Yes,Yes,"$6,000"
Rolex,Cellini Dual Time,50525,Excellent,Yes,Yes,"$16,500"
OMEGA,Seamaster 300M,212.30.42.50.01.001,Excellent,No,No,"$4,700"
Tudor,Pelagos,25600,Very Good,Yes,Yes,"$4,000"
IWC,Pilot,IW3881-03,Excellent,Yes,Yes,"$6,500"
OMEGA,Speedmaster Racing,326.30.40.50.02.001,Excellent,Yes,Yes,"$4,000"
OMEGA,Seamaster Planet Ocean,232.30.44.22.01.001,Excellent,No,No,"$4,600"
Grand Seiko,Heritage Hi-Beat 36000,SBGJ261,Excellent,Yes,Yes,"$6,300"
Breitling,Premier,A13315,Excellent,Yes,Yes,"$4,900"
Breitling,Navitimer World,A24322,Excellent,Yes,Yes,"$5,400"
Tudor,Heritage Black Bay Fifty-Eight,79030,Excellent,Yes,Yes,"$3,700"
Tudor,Prince Date,79280P,Excellent,Yes,Yes,"$4,050"
Tudor,Heritage Black Bay Fifty-Eight,79030,Excellent,Yes,Yes,"$3,800"
Breitling,Avenger,A17318,Excellent,Yes,Yes,"$3,000"
A. Lange & Sohne,Saxonia Thin,211.026,Excellent,Yes,Yes,"$16,700"
OMEGA,Speedmaster Day-Date,3220.50.00,Excellent,Yes,Yes,"$3,600"
Rolex,Explorer II,16570,Excellent,Yes,Yes,"$9,150"
Rolex,Submariner,116613,Excellent,No,No,"$15,500"
Rolex,Datejust,126300,Excellent,No,No,"$9,700"
Rolex,GMT-Master II,16710,Very Good,No,No,"$13,075"
Rolex,Oyster Perpetual,124200,Excellent,Yes,Yes,"$7,100"
Rolex,Explorer II,216570,Excellent,Yes,Yes,"$10,200"
Zenith,Elite Moonphase,03.3100.692/01.C922,Excellent,No,No,"$5,600"
Tudor,Heritage Black Bay GMT,79830,Excellent,Yes,Yes,"$3,000"
Tudor,Pelagos,25610,Excellent,Yes,Yes,"$4,400"
Tudor,Heritage Black Bay GMT,79830,Excellent,Yes,Yes,"$4,000"
OMEGA,Seamaster 300M,210.30.42.20.06.001,Excellent,No,No,"$4,600"
OMEGA,Seamaster 300,234.32.41.21.03.001,Excellent,Yes,Yes,"$5,800"
OMEGA,Seamaster 300M,210.30.42.20.03.001,Excellent,Yes,Yes,"$4,800"
Panerai,Luminor Marina,PAM 590,Excellent,Yes,Yes,"$6,150"
OMEGA,Seamaster 300M,210.90.42.20.01.001,Excellent,Yes,Yes,"$8,250"
OMEGA,Speedmaster Broad Arrow,3581.50.00,Very Good,Yes,Yes,"$5,125"
IWC,Pilot Mark XVI,IW3255-05,Excellent,Yes,Yes,"$3,775"
OMEGA,Speedmaster Racing,326.30.40.50.01.001,Excellent,Yes,Yes,"$4,000"
Tudor,Fastrider Black Shield,42000,Excellent,Yes,Yes,"$4,125"
Rolex,Air-King,114210,Excellent,No,No,"$6,250"
Rolex,Datejust II,116333,Excellent,Yes,Yes,"$14,600"
Cartier,Pasha de Cartier,WSPA0009,Excellent,No,No,"$5,600"
OMEGA,Seamaster Planet Ocean,2901.51.82,Excellent,Yes,Yes,"$4,450"
OMEGA,Seamaster 300M,210.30.42.20.03.001,Excellent,Yes,Yes,"$4,800"
Tudor,Pelagos,25707,Excellent,Yes,Yes,"$5,400"
Jaeger-LeCoultre,Reverso,Q2608530,Excellent,Yes,Yes,"$4,500"
IWC,Portofino,IW5164-06,Excellent,No,No,"$8,200"
Jaeger-LeCoultre,Reverso,Q3978480,Excellent,Yes,Yes,"$7,925"
OMEGA,Seamaster 300,233.32.41.21.01.001,Excellent,Yes,Yes,"$10,600"
OMEGA,Speedmaster Professional Moonwatch,311.30.42.30.01.005,Excellent,Yes,Yes,"$5,100"
Breitling,Chronomat,IB01341,Excellent,Yes,Yes,"$6,750"
Breitling,Premier,R37340,Excellent,Yes,Yes,"$10,500"
OMEGA,Seamaster Planet Ocean,215.30.40.20.03.001,Excellent,Yes,Yes,"$4,900"
TAG Heuer,Aquaracer,WAY2015,Excellent,Yes,Yes,"$2,950"
Panerai,Luminor Marina 1950,PAM 1351,Excellent,No,No,"$7,300"
Tudor,Heritage Black Bay GMT,79830,Excellent,Yes,Yes,"$4,000"
OMEGA,De Ville Prestige,424.10.24.60.01.001,Excellent,No,No,"$1,800"
Jaeger-LeCoultre,Master Geographic,Q1428530,Excellent,No,No,"$7,275"
Breitling,Endurance Pro,X82310,Excellent,Yes,Yes,"$2,850"
Rolex,Explorer II,16570,Excellent,Yes,Yes,"$9,550"
Rolex,GMT-Master II,16710,Very Good,Yes,Yes,"$13,675"
Rolex,Submariner,126610,Excellent,Yes,Yes,"$14,800"
Rolex,Submariner,116613,Excellent,Yes,Yes,"$15,300"
Rolex,Yacht-Master,126622,Excellent,Yes,Yes,"$16,500"
Breitling,SuperOcean Heritage,A10370,Excellent,Yes,Yes,"$3,700"
Breitling,B-2,A42362,Excellent,No,No,"$2,900"
OMEGA,Constellation,131.33.41.21.01.001,Excellent,Yes,Yes,"$4,800"
OMEGA,Seamaster Specialties,522.30.42.20.04.001,Excellent,Yes,Yes,"$6,550"
Tudor,Heritage Black Bay GMT,79830,Excellent,Yes,Yes,"$4,000"
Breitling,SuperOcean,A17366,Excellent,Yes,Yes,"$3,250"
Rolex,Datejust,1603,Very Good,No,No,"$5,900"
Rolex,Submariner,16613,Very Good,Yes,Yes,"$11,800"
Rolex,Explorer II,226570,Excellent,Yes,Yes,"$14,300"
OMEGA,Seamaster Planet Ocean,215.30.44.21.01.001,Excellent,Yes,Yes,"$5,100"
Rolex,Datejust,126333,Excellent,Yes,Yes,"$14,750"
Breitling,Chronomat 01,UB0134,Excellent,Yes,Yes,"$9,275"
OMEGA,Constellation Globemaster,130.23.41.22.06.001,Excellent,No,No,"$6,200"
Cartier,Drive de Cartier,WGNM0008,Excellent,Yes,Yes,"$10,000"
Glashutte Original,SeaQ Chronograph,1-37-23-02-81-70,Excellent,Yes,Yes,"$13,500"
OMEGA,De Ville Prestige,424.20.27.60.52.003,Excellent,No,No,"$4,000"
Cartier,Ronde Louis,WR000651,Excellent,No,No,"$8,500"
Breitling,SuperOcean II,A17392,Excellent,Yes,Yes,"$3,600"
Cartier,Tank Solo,WSTA0029,Excellent,No,No,"$4,500"
OMEGA,Seamaster 300M,210.92.42.20.01.001,Excellent,Yes,Yes,"$7,200"
Breitling,SuperOcean,A17366,Excellent,No,No,"$3,400"
Rolex,Air-King,126900,Excellent,Yes,Yes,"$11,000"
Rolex,Datejust,126300,Excellent,Yes,Yes,"$10,400"
Blancpain,Fifty Fathoms Automatique,5015 1130 71S,Excellent,Yes,Yes,"$11,500"
Tudor,Pelagos,25600,Excellent,Yes,Yes,"$4,400"
OMEGA,Speedmaster Professional Moonwatch,310.30.42.50.01.001,Excellent,Yes,Yes,"$5,950"
Breitling,Premier B01,AB0118,Excellent,No,No,"$5,500"
Rolex,Explorer II,16570,Excellent,Yes,Yes,"$9,000"
Rolex,Datejust II,116333,Excellent,No,No,"$12,000"
Rolex,Submariner,14060,Excellent,No,No,"$10,300"
Rolex,Yacht-Master,16622,Excellent,No,No,"$10,000"
OMEGA,Speedmaster Professional Moonwatch,311.30.42.30.01.005,Excellent,Yes,Yes,"$5,100"
Cartier,Ballon Bleu,W6920055,Excellent,Yes,Yes,"$11,200"
Tudor,Heritage Black Bay GMT,79830,Excellent,Yes,Yes,"$4,000"
Panerai,Luminor Marina,PAM 299,Excellent,No,No,"$5,700"
IWC,Portofino,IW3910-08,Excellent,Yes,Yes,"$4,350"
